pmid,decision,rationale,reviewer,review_date,source,abstract_available,priority,priority_reasons,metadata_verified,metadata_conflicts,identifiers_verified,source_doi_absence_confirmed,correction_retraction_status,integrity_status,integrity_action,integrity_source_url,limitation
42564675,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42564675/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42564675/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42564434,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42564434/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42564434/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560255,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560255/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560255/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560254,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560254/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560254/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560239,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560239/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560239/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560233,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560233/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560233/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42560229,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560229/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560229/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560223,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560223/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560223/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42560220,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560220/ — NCBI Entrez EFetch 2026-09-07,True,False,,False,authors,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560220/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560215,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560215/ — NCBI Entrez EFetch 2026-09-07,True,False,,False,authors,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560215/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42560206,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560206/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560206/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560205,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560205/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560205/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42560189,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42560189/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42560189/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42550655,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42550655/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42550655/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42550646,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42550646/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42550646/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42550637,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42550637/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42550637/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42550628,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42550628/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42550628/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42550626,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42550626/ — NCBI Entrez EFetch 2026-09-07,True,True,source DOI absent,True,,True,True,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42550626/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42536945,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42536945/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42536945/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42535933,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42535933/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42535933/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42534159,INCLUDE_FULL_TEXT,Title/abstract identify an explicit implementation-science construct; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42534159/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42534159/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42534052,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42534052/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42534052/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42533972,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42533972/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42533972/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42533083,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42533083/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42533083/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42524425,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42524425/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42524425/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42520311,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42520311/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42520311/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42514456,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42514456/ — NCBI Entrez EFetch 2026-09-07,True,False,,False,authors,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42514456/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42513241,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42513241/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42513241/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42507964,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42507964/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42507964/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42506803,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42506803/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42506803/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42498086,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42498086/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42498086/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42498016,INCLUDE_FULL_TEXT,Title/abstract identify an explicit operational APHT/medical-readiness topic; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42498016/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42498016/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42496407,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42496407/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42496407/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42489479,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42489479/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42489479/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42472470,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42472470/ — NCBI Entrez EFetch 2026-09-07,True,False,,False,authors,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42472470/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42470582,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42470582/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42470582/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42467735,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42467735/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42467735/,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
42436168,INCLUDE_FULL_TEXT,Title/abstract identify an explicit tactical/public-safety context and readiness domain; retain for full-text assessment.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42436168/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42436168/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
42425810,INCLUDE_FULL_TEXT,Military-derived prolonged field care in austere settings is explicitly relevant to operational APHT transferability; retain for full text.,OpenAI Codex — AI-assisted primary screen,2026-09-07,https://pubmed.ncbi.nlm.nih.gov/42425810/ — NCBI Entrez EFetch 2026-09-07,True,False,,True,,True,False,Clear,Verified — clear,CLEAR,https://pubmed.ncbi.nlm.nih.gov/42425810/,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
