Evidence ID,Etapa,Fonte,Caminho/URL,SHA-256,Data,Ferramenta,Transformação
EV-0376,BIBLIOGRAPHIC_IDENTITY,PubMed,https://pubmed.ncbi.nlm.nih.gov/39727243/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,PMID/PMCID/DOI/title metadata verification
EV-0376,FULL_TEXT,PubMed Central / publisher,https://pmc.ncbi.nlm.nih.gov/articles/PMC12202711/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,full-text/section verification where retrievable; no private PDF used
EV-0376,EXTRACTION_APPRAISAL,audited lawful source,https://doi.org/10.1177/15248380241305567,,2026-09-20,AI-assisted structured review,provisional extraction/appraisal; human fields unchanged
EV-0880,BIBLIOGRAPHIC_IDENTITY,PubMed,https://pubmed.ncbi.nlm.nih.gov/32414356/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,PMID/PMCID/DOI/title metadata verification
EV-0880,FULL_TEXT,PubMed Central / publisher,https://pmc.ncbi.nlm.nih.gov/articles/PMC7229618/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,full-text/section verification where retrievable; no private PDF used
EV-0880,EXTRACTION_APPRAISAL,audited lawful source,https://link.springer.com/article/10.1186/s12889-020-08868-2,,2026-09-20,AI-assisted structured review,provisional extraction/appraisal; human fields unchanged
EV-0862,BIBLIOGRAPHIC_IDENTITY,PubMed,https://pubmed.ncbi.nlm.nih.gov/32884581/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,PMID/PMCID/DOI/title metadata verification
EV-0862,FULL_TEXT,PubMed Central / publisher,https://pmc.ncbi.nlm.nih.gov/articles/PMC7461150/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,full-text/section verification where retrievable; no private PDF used
EV-0862,EXTRACTION_APPRAISAL,audited lawful source,https://link.springer.com/article/10.1186/s13031-020-00308-7,,2026-09-20,AI-assisted structured review,provisional extraction/appraisal; human fields unchanged
EV-0813,BIBLIOGRAPHIC_IDENTITY,PubMed,https://pubmed.ncbi.nlm.nih.gov/33588821/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,PMID/PMCID/DOI/title metadata verification
EV-0813,FULL_TEXT,PubMed Central / publisher,https://pmc.ncbi.nlm.nih.gov/articles/PMC7885386/,HASH_NOT_AVAILABLE_CONNECTOR_RETRIEVAL,2026-09-20,web verification,full-text/section verification where retrievable; no private PDF used
EV-0813,EXTRACTION_APPRAISAL,audited lawful source,https://link.springer.com/article/10.1186/s12909-021-02530-0,,2026-09-20,AI-assisted structured review,provisional extraction/appraisal; human fields unchanged
