evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,classification_reason,source_url,human_confirmed
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,ethics approval,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data collection congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data representation/analysis congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/interpretation congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/philosophical perspective congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/research question congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,participants and voices represented,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher culturally/theoretically located,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0447,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher influence addressed,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,conclusions flow from analysis,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,ethics approval,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data collection congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/data representation/analysis congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/interpretation congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/philosophical perspective congruity,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,methodology/research question congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,participants and voices represented,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher culturally/theoretically located,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0503,JBI Qualitative Research,2017 checklist,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,JBI-QUAL,researcher influence addressed,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,Qualitative interview/focus-group study.,https://jbi.global/critical-appraisal-tools,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,1,Is the source of the opinion clearly identified?,YES,Article front matter identifies Lacey LaGrone as sole author with Medical Center of the Rockies/University of Colorado Health affiliation.,PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,2,Does the source of the opinion have standing in the field of expertise?,UNCLEAR,"The article identifies a clinical affiliation but does not provide qualifications, role or experience sufficient to fully establish standing in implementation science.",PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,3,Are the interests of the relevant population the central focus of the opinion?,UNCLEAR,Body ¶1–3 centers praise and prospective expectations; the relevant population's interests are not independently examined.,PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,4,Does the opinion demonstrate a logically defended argument to support the conclusions drawn?,NO,"Body ¶1–2 asserts effectiveness, generalizability and near-certain sustainability without original data or a sufficiently developed analytical defence.",PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,5,Is there reference to the extant literature?,YES,"Body ¶1–3 cites the commented article, EPIS resources and a pragmatism source.",PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0523,JBI Textual Evidence: Expert Opinion,current checklist; McArthur et al. 2025; file published 2026-05,TEXTUAL_EVIDENCE_APPRAISAL,EXPERT_OPINION,6,Is any incongruence with the literature/sources logically defended?,NO,Body ¶1–3 does not engage alternative views or defend incongruence with the literature/sources.,PMC identifies the item as article-commentary and the text is a named author's evaluative opinion on another article. It is neither a first-person event narrative nor policy/consensus guidance; Expert Opinion is the applicable current JBI textual-evidence class.,https://jbi.global/sites/default/files/2026-05/2.Checklist_Textual_Evidence_Opinion.docx,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.1,Is there an adequate rationale for using a mixed methods design to address the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.2,Are the different components of the study effectively integrated to answer the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.3,Are the outputs of the integration of qualitative and quantitative components adequately interpreted?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.4,Are divergences and inconsistencies between quantitative and qualitative results adequately addressed?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.5,Do the different components of the study adhere to the quality criteria of each tradition of the methods involved?,NO,The quantitative component fails representativeness and nonresponse criteria and leaves measurement appropriateness indeterminate.,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.1,Is the qualitative approach appropriate to answer the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.2,Are the qualitative data collection methods adequate to address the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.3,Are the findings adequately derived from the data?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.4,Is the interpretation of results sufficiently substantiated by data?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.5,"Is there coherence between qualitative data sources, collection, analysis and interpretation?",YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.1,Is the sampling strategy relevant to address the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,"The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.2,Is the sample representative of the target population?,NO,"Nineteen self-selected respondents from one provincial context, all women, are not representative of the target population.","The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.3,Are the measurements appropriate?,CAN'T TELL,The article does not report sufficient measurement-property evidence for the questionnaire items and the researcher-rated Hexagon use in this application.,"The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.4,Is the risk of nonresponse bias low?,NO,Participation was lower than expected and no recruitment denominator supports a low risk of nonresponse bias.,"The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.5,Is the statistical analysis appropriate to answer the research question?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,"The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S1,Are there clear research questions?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0593,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S2,Do the collected data allow to address the research questions?,YES,Materials and Methods—Study Design ¶1–3; Participants and Recruitment ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Quantitative Questionnaire ¶1; Qualitative Thematic Analysis ¶1; Organizational Readiness ¶1–2; Discussion ¶1–4; Limitations ¶1,MMAT 2018 requires the applicable component appraisal in addition to mixed-method integration criteria.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0668,SANRA,2019; six-item scale,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,SANRA,aims stated,2,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,SANRA applies to the explicitly labelled narrative review.,https://doi.org/10.1186/s41073-019-0064-8,
EV-0668,SANRA,2019; six-item scale,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,SANRA,endpoint data,1,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,SANRA applies to the explicitly labelled narrative review.,https://doi.org/10.1186/s41073-019-0064-8,
EV-0668,SANRA,2019; six-item scale,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,SANRA,importance justified,2,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,SANRA applies to the explicitly labelled narrative review.,https://doi.org/10.1186/s41073-019-0064-8,
EV-0668,SANRA,2019; six-item scale,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,SANRA,literature search described,0,The STEADY Program ¶1–2; Key Components ¶1–8; What Does STEADY Add? ¶10; Next Steps and Implications for Practice ¶1–2,SANRA applies to the explicitly labelled narrative review.,https://doi.org/10.1186/s41073-019-0064-8,
