evidence_id,field,before,after,reason,source
EV-0787,MMAT domains,S1/S2 + 5.1-5.5 with generic component-quality field,S1/S2 + 1.1-1.5 + 4.1-4.5 + 5.1-5.5,MMAT mixed-method studies require appraisal of each component and integration.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf
EV-0787,quantitative category,Not recorded,4. QUANTITATIVE DESCRIPTIVE,The quantitative component reports cross-sectional implementation and sustainability survey scores descriptively; it does not allocate an intervention or estimate a causal exposure-outcome association.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf
EV-0593,MMAT domains,S1/S2 + 5.1-5.5 with generic component-quality field,S1/S2 + 1.1-1.5 + 4.1-4.5 + 5.1-5.5,MMAT mixed-method studies require appraisal of each component and integration.,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf
EV-0593,quantitative category,Not recorded,4. QUANTITATIVE DESCRIPTIVE,"The quantitative component is a small cross-sectional questionnaire summarized with descriptive statistics; Hexagon ratings are contextual readiness judgments, not an intervention comparison or analytic exposure study.",https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf
EV-0758,JBI textual tool,JBI Text and Opinion 2017,JBI Textual Evidence: Expert Opinion; current checklist,"JBI now separates Narrative, Expert Opinion and Policy; record was reclassified and reappraised from scratch.",https://jbi.global/critical-appraisal-tools
EV-0523,JBI textual tool,JBI Text and Opinion 2017,JBI Textual Evidence: Expert Opinion; current checklist,"JBI now separates Narrative, Expert Opinion and Policy; record was reclassified and reappraised from scratch.",https://jbi.global/critical-appraisal-tools
EV-0668,appraisal semantics,SANRA without explicit appraisal-type separation,SANRA=narrative-review methodological-quality appraisal; risk_of_bias_appraisal=NO,"SANRA is a scale for narrative review quality, not a generic risk-of-bias instrument.",https://doi.org/10.1186/s41073-019-0064-8
EV-0787,AAM/VOR,AUTHOR_ACCEPTED_MANUSCRIPT,AAM_WITH_VOR_SECTION_CROSSCHECK,An open-access publisher VOR was lawfully accessible and material sections were compared; no absolute equivalence was asserted.,https://www.sciencedirect.com/science/article/pii/S095539592100164X
EV-0425,AAM/VOR,AUTHOR_ACCEPTED_MANUSCRIPT,AAM_USED_FOR_EXTRACTION + VERSION_OF_RECORD_COMPARISON_PENDING,"Publisher metadata and abstract were accessible, but a lawful publisher full text was not available for material comparison in this execution.",https://onlinelibrary.wiley.com/doi/10.1111/dar.13926
EV-0523,eligibility semantics,HUMAN_REVIEW_REQUIRED in free text,ORIGINAL_DATA=NO; EMPIRICAL_EFFECT_ESTIMATE=NO; ELIGIBILITY_CONTEXTUAL_SOURCE=HUMAN_DECISION_REQUIRED,Prevent commentary from being treated as an empirical study or effect estimate.,PMC10729156 JATS: article-commentary; Body ¶1-3; Data availability statement
