Evidence_ID,Title,Year,DOI,PMID,Country,Population,Study_Design,Domain,Pass1,Pass2,Pass3,Priority,Manuscript_Layer,Section,Citation_Fitness,Contradictory,Replace_Existing,Full_Text_Required,Integrity,Freeze_Change,Why_Useful,Source_URL
EV-0164,The Effectiveness of a 10-Week Concurrent Strength and Endurance Training Program on the Physical Readiness of Trained British Army Soldiers.,2026,10.1519/jsc.0000000000005275,41576259,,,Journal Article; Randomized Controlled Trial,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,REPLACE_EXISTING_CANDIDATE,P1 — HIGH,Both,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,YES,YES,Verified — clear,YES — REVIEW REQUIRED,Potentially stronger evidence than current domain support,https://pubmed.ncbi.nlm.nih.gov/41576259/
EV-0167,Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment.,2025,10.1007/s11292-025-09711-7,41537090,,,Journal Article,Implementation science,HIGH_RELEVANCE,GAP_CLOSURE_CANDIDATE,FULL_TEXT_REVIEW,P0 — CRITICAL,International,Implementation Considerations / Implementacao,POTENTIAL_GAP_CLOSURE,NO,NO,YES,Verified — clear,NO,Potential structural-gap closure,https://pubmed.ncbi.nlm.nih.gov/41537090/
EV-0169,"Risk Factors for Musculoskeletal Injuries in Military Recruits: The Impact of Sex, Body Fat Percentage, and Physical Fitness.",2026,10.1093/milmed/usaf614,41528757,,,"Journal Article; Research Support, Non-U.S. Gov't",Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41528757/
EV-0174,Trends in Upper Extremity Injuries in Female Marines following the Addition of the Pull-up as a Physical Fitness Test Event.,2026,10.1093/milmed/usaf621,41503938,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41503938/
EV-0177,The Effect of a Daily Undulating Periodization Program on the Physical Performance of Trainee Tactical Police Officers.,2026,10.1519/jsc.0000000000005356,41489861,,,Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41489861/
EV-0178,Leader-Inspired Nutrition: A Framework for Promoting Healthy Nutrition Behaviors and a Nutritionally Fueled and Fit Military Force.,2025,10.3390/nu17243835,41470780,,,Journal Article,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41470780/
EV-0179,Exploring Law Enforcement Officers' Experiences with Athletic Trainers and Work-Related Injury.,2025,10.3390/ijerph22121769,41464403,,,Journal Article,Musculoskeletal injury,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Operational Implications / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41464403/
EV-0183,Virtual first: implementation of a novel sleep telehealth platform in the United States military.,2024,10.3389/frsle.2024.1304743,41424497,,,Journal Article,Sleep / fatigue / recovery,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Integrated Operational Readiness / Discussion,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41424497/
EV-0194,"Comparing Standard and Advanced Lipid Profiles in Law Enforcement Officers: A Pilot Study on the Links to Fitness, Body Composition, and Cardiometabolic Risk.",2026,10.1097/jom.0000000000003637,41355034,,,Comparative Study; Journal Article,Physical / academy readiness,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Physical and Academy Readiness / Aptidao e academia,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41355034/
EV-0195,Addressing PTSD symptoms in first responders and healthcare workers through trauma-focused treatment in Employee Assistance Programs: Protocol for a randomized controlled trial.,2026,10.1016/j.cct.2025.108174,41352531,,,Clinical Trial Protocol; Journal Article,Mental health / stress,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Organizational Health Context / Discussao,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41352531/
EV-0196,"Nutrition for Tactical Athletes: Insights, Applications and Research Gaps.",2026,10.1007/s40279-025-02363-7,41348147,,,Journal Article; Review,Nutrition / shift work,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Nutrition and Schedule Load / Nutricao e jornadas,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41348147/
EV-0198,Development of a military mental health training program aiming to promote mental health and operational readiness in the Danish armed forces: an intervention mapping approach.,2025,10.3389/fpubh.2025.1676193,41346760,,,Journal Article,Mental health / stress,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Organizational Health Context / Discussao,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41346760/
EV-0200,Efficacy of Fatigue Countermeasures on Cognitive Performance and Operational Safety in Military Pilots: A Systematic Review.,2025,10.7759/cureus.95823,41328140,,,Journal Article; Review,Cognition / firearm performance,HIGH_RELEVANCE,DIRECT_MANUSCRIPT_FIT,FULL_TEXT_REVIEW,P1 — HIGH,International,Cognition and Firearm-Task Performance / Cognicao e tiro,POTENTIAL_DIRECT_SUPPORT,NO,NO,YES,Verified — clear,NO,Potential direct support for an active manuscript domain,https://pubmed.ncbi.nlm.nih.gov/41328140/
