evidence_id,tool,domain,judgment,basis,human_confirmed
EV-0503,JBI Qualitative Research,methodology/data collection congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,methodology/data representation/analysis congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,methodology/interpretation congruity,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,researcher culturally/theoretically located,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,researcher influence addressed,UNCLEAR,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,participants and voices represented,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,ethics approval,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0503,JBI Qualitative Research,conclusions flow from analysis,YES,Method—Design ¶1; Participants ¶1; Interviews ¶1–2; Analysis ¶1; Results—Participants ¶1–2 and Overall Findings ¶1–4; Strengths and Limitations ¶1–2,
EV-0447,JBI Qualitative Research,methodology/philosophical perspective congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,methodology/research question congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,methodology/data collection congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,methodology/data representation/analysis congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,methodology/interpretation congruity,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,researcher culturally/theoretically located,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,researcher influence addressed,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,participants and voices represented,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,ethics approval,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0447,JBI Qualitative Research,conclusions flow from analysis,YES,Methods—Study Design ¶1; Reflexivity ¶1; Recruitment ¶1; Data Collection ¶1; Thematic Analysis ¶1–2; Results—Participant Demographics ¶1 and Qualitative Results; Limitations ¶1,
EV-0425,JBI Qualitative Research,methodology/philosophical perspective congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,methodology/research question congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,methodology/data collection congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,methodology/data representation/analysis congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,methodology/interpretation congruity,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,researcher culturally/theoretically located,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,researcher influence addressed,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,participants and voices represented,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,ethics approval,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0425,JBI Qualitative Research,conclusions flow from analysis,YES,Methods—Community-engaged approach ¶1; Recruitment ¶1; Data Collection ¶1; Analysis ¶1; Results ¶1–3 and thematic sections; Limitations ¶1,
EV-0787,MMAT 2018,clear research questions,YES,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,data address research questions,YES,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,rationale for mixed methods,YES,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,components effectively integrated,YES,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,integrated outputs interpreted,YES,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,divergence/inconsistency addressed,UNCLEAR,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0787,MMAT 2018,component quality adequate,UNCLEAR,Methods—Design ¶1; Participants ¶1; Analysis Plan ¶1–2; Results—Participant Characteristics ¶1; Quantitative Metrics ¶1; Study Strengths and Limitations ¶1,
EV-0593,MMAT 2018,clear research questions,YES,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,data address research questions,YES,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,rationale for mixed methods,YES,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,components effectively integrated,YES,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,integrated outputs interpreted,YES,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,divergence/inconsistency addressed,UNCLEAR,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0593,MMAT 2018,component quality adequate,UNCLEAR,Materials and Methods—Study Design ¶1–3; Participants ¶1; Data Collection ¶1–4; Data Analysis ¶1–2; Results—Questionnaire ¶1 and Thematic Analysis ¶1; Limitations ¶1,
EV-0758,JBI Text and Opinion,source identified,YES,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0758,JBI Text and Opinion,expertise/standing,YES,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0758,JBI Text and Opinion,interests central to population,UNCLEAR,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0758,JBI Text and Opinion,logical basis,YES,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0758,JBI Text and Opinion,reference to extant literature,YES,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0758,JBI Text and Opinion,incongruence defended,UNCLEAR,Enhancing the Readiness Building System with RRR Tools and Approaches ¶1–5; RRR in Practice; Next Steps for RRR ¶1–5; Conclusions ¶1–4,
EV-0523,JBI Text and Opinion,source identified,YES,Body ¶1–3,
EV-0523,JBI Text and Opinion,expertise/standing,YES,Body ¶1–3,
EV-0523,JBI Text and Opinion,interests central to population,UNCLEAR,Body ¶1–3,
EV-0523,JBI Text and Opinion,logical basis,YES,Body ¶1–3,
EV-0523,JBI Text and Opinion,reference to extant literature,YES,Body ¶1–3,
EV-0523,JBI Text and Opinion,incongruence defended,NOT_APPLICABLE,Body ¶1–3,
