canonical_evidence_id,doi,pmid,zotero_key,status,action,safety_note
EV-1473,10.3389/fpsyg.2025.1557524,40212308,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1474,10.3389/fpsyg.2025.1736902,41694750,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1475,10.36776/ribsp.v8i21.317,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1476,10.51891/rease.v11i6.19687,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1477,,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1478,10.1016/j.jdeveco.2025.103603,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1479,10.1590/S1678-4634202349248317,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1480,10.1007/s11896-026-09827-0,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1481,10.3233/WOR-210031,36093659,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
EV-1482,10.31060/rbsp.2024.v18.n1.1764,,,DIRECT_ZOTERO_CONNECTOR_UNAVAILABLE,PENDING_DIRECT_ZOTERO_WRITE,No Zotero key invented; baseline duplicate check used official 1:1 Master Evidence snapshot.
