pilot,evidence_id,pmid,title,ai_decision_provisional,design,evidence_class,instrument,main_findings,limitations,supported_claims,unsupported_claims,pending_items,version,integrity,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready
PILOT_02,EV-0367,39808097,Emergency Nurses’ Perspectives on Adopting Geriatric Screenings for Cognitive Impairment: A Qualitative Study,RETAIN_FOR_HUMAN_CONFIRMATION,qualitative case study using semi-structured interviews and CFIR-guided deductive-inductive analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Eleven nurses rated delirium screening feasibility at a mean 3.9/5 and dementia screening at 3.45/5; these are perceptions, not implementation or patient outcomes.","Single under-resourced US safety-net hospital, daytime recruitment and no Brazilian or public-safety workforce implementation.","In this single-site sample, interviewed nurses identified concrete barriers and facilitators to introducing delirium and dementia screening.","The study does not establish screening effectiveness, diagnostic accuracy, patient-safety benefit, adoption rates or generalizability to other emergency departments.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison pending or incomplete,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0176,41492854,"“Convenience, Quickness, and Compassion”: Experiences of People Involved in the Criminal‐Legal System Accessing Medications for Opioid Use Disorder Services From a Mobile Unit in Chicago",RETAIN_FOR_HUMAN_CONFIRMATION,qualitative descriptive study using semi-structured interviews and inductive thematic analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,Thirteen interviews produced five themes and eight subthemes; findings describe service experiences and perceived access conditions.,Small service-engaged sample from a few Chicago neighborhoods and a specific US treatment and criminal-legal context.,These 13 participants reported that mobile MOUD access was supported by convenience and compassionate care and constrained by structural barriers.,"The study does not estimate treatment effectiveness, retention, overdose reduction, causal benefit or experiences of people unable to access the service.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0171,41520119,Implementing a peer navigation program for individuals with serious mental illness in the criminal legal system: insights and lessons learned,RETAIN_FOR_HUMAN_CONFIRMATION,"mixed-methods implementation process evaluation integrating qualitative interviews, descriptive WAI ratings and document review",MIXED_METHODS_EVIDENCE,MMAT,Three navigators supplied 12 WAI ratings with high descriptive alliance scores; opinions about effectiveness were mixed and no client-effect estimate was tested.,"Four Black male navigators in one locality, three survey respondents, unstable post-release follow-up and no powered outcome comparison.","Within this small pilot, participating peer navigators identified implementation strengths, barriers and refinements for MAPS.","The study does not establish service-linkage effectiveness, cost-effectiveness, reduced reincarceration or client outcomes.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0160,41626406,Building Community Capacity for Harm Reduction: An Adaptive Implementation Science Approach in Rural Appalachian Ohio,RETAIN_FOR_HUMAN_CONFIRMATION,"adaptive mixed-methods implementation project with formative interviews, respondent-driven survey, network analysis and process evaluation",MIXED_METHODS_EVIDENCE,MMAT,The article reports implementation activities and sustainment examples; planned repeated survey and population-outcome analyses were not completed after COVID-19 disruption.,"Grant-supported US rural harm-reduction context, local legal climate, incomplete outcome evaluation and COVID-era adaptation differ from Brazil.",The project demonstrates how these three counties co-developed and delivered adaptive capacity-building activities and documents their process outputs.,"It does not establish reductions in overdose or infection, causal community benefit, effectiveness of individual activities or sustainability across settings.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0157,41673910,Drug checking services: barriers and facilitators to implementation by U.S. syringe services programs,RETAIN_FOR_HUMAN_CONFIRMATION,"qualitative implementation study using semi-structured interviews, reflexive thematic analysis and secondary CFIR coding",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Eight of 23 represented programs had implemented advanced services; this descriptive count accompanies qualitative themes and is not an effectiveness estimate.,"Purposive US program sample, program representatives rather than service users, and US legal and funding structures.",Interviewed program representatives identified multilevel barriers and partnership-based facilitators for advanced drug-checking implementation.,"The study does not show that drug checking reduces overdose, quantify adoption nationally or establish partnership effectiveness.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0091,42196761,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations,RETAIN_FOR_HUMAN_CONFIRMATION,uncontrolled longitudinal multiple-cohort implementation case series with repeated cross-sectional pre-post surveys and exploratory organizational correlations,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Aggregate scores improved for anxiety, alcohol use and team psychological safety, while individual resilience deteriorated; small-N correlations with benefit costs were exploratory and sometimes unexpected.","No control group, different repeated samples, attrition, COVID timing, organization-level N of four or five and Canadian context.","In these five organizations, selected survey measures changed over time and exploratory organization-level associations with benefit costs were observed.","The study does not establish that the Standard or training caused the changes, reduced costs, prevented illness or will reproduce in other organizations.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-1328,19947877,Trauma Care Training for National Police Nurses in Colombia,RETAIN_FOR_HUMAN_CONFIRMATION,single-group pre-post quasi-experimental course evaluation,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,Mean written scores rose from 59.8% to 98.9% (p<0.01); all 374 participants were rated as demonstrating complete knowledge after practical training.,"Colombian police combat-nurse setting, non-standardized instruments, instructor assessment and no control or long-term follow-up.","Among these 374 trainees, written scores and instructor-rated simulation skills were higher after the MEDTAC course.","The uncontrolled evaluation does not establish clinical performance, casualty outcomes, long-term retention or superiority to another course.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison pending or incomplete,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0896,32191195,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control,RETAIN_FOR_HUMAN_CONFIRMATION,nonrandomized comparative simulation study of trained versus untrained volunteers,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Time to solution was shorter for trained groups for bleeding (3:33 versus the 8-minute cutoff, p=0.0014) and airway obstruction (32.6 seconds versus 7:03, p=0.0087); time-to-first-action differences were not significant.","Small volunteer sample, nonrandom group assignment, simulated setting, potential group differences and donated equipment.","In this simulation, trained volunteer groups completed the two specified interventions faster than untrained groups.","The study does not prove real-event mortality benefit, durable skill retention, population effectiveness or equivalence to professional EMS.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0791,33909512,Assessment of Fall-Related Emergency Medical Service Calls and Transports After a Community-Level Fall-Prevention Initiative,RETAIN_FOR_HUMAN_CONFIRMATION,quality-improvement initiative with uncontrolled retrospective interrupted time-series/pre-post comparison,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Fall-related calls decreased from 135 to 46 (reported relative risk reduction 0.66, 95% CI 0.53-0.76); transports decreased from 96 to 36 (0.63, 95% CI 0.46-0.75).","Single supportive small city, established grant-funded program, changing documentation and no concurrent control for secular or seasonal trends.",Fall-related EMS calls and transports were lower in the sustainment period than in the baseline period in this community.,The uncontrolled comparison does not establish that Community-FIT caused the reductions or that the effect will generalize to other communities.,Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison pending or incomplete,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
PILOT_02,EV-0723,35120531,The Bronze Age of drug checking: barriers and facilitators to implementing advanced drug checking amidst police violence and COVID-19,RETAIN_FOR_HUMAN_CONFIRMATION,"longitudinal qualitative implementation case study with field observations, interviews and descriptive process measures",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Requests fell from an average 42 per month before a police operation to 23 in August 2019 and later stopped during COVID restrictions; these descriptive changes do not isolate causal effects.,"One independently operated urban US program, 12 interviewees, distinct drug laws and law-enforcement environment.","This case documents how organizational, technical, legal, policing and pandemic conditions shaped implementation at one program.","It does not establish drug-checking effectiveness, overdose prevention, causal effects of policing or generalizability beyond the site.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0629,36747268,Implementation of an integrated infectious disease and substance use disorder team for injection drug use-associated infections: a qualitative study,RETAIN_FOR_HUMAN_CONFIRMATION,"qualitative implementation study using purposive sampling, semi-structured interviews and CFIR-guided content analysis",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Fifteen interviews generated CFIR-organized barriers and facilitators; the article reports perceptions during the first eight months and no effectiveness estimate.,"One US safety-net academic system, small purposive sample, only three exposed patients and a local syringe-service partnership limit transfer to Brazilian public safety.","In this early single-site sample, interviewed clinicians and patients identified specific barriers and facilitators to implementing an integrated infectious-disease and substance-use-disorder team.","The interviews do not establish reduced readmission, infection cure, treatment retention, mortality benefit or causal effectiveness of the SIRI team.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0592,37326779,Supporting implementation science and health equity in cancer prevention and control through research networks,RETAIN_FOR_HUMAN_CONFIRMATION,"qualitative brief report using convenience sampling, semi-structured interviews and constructivist thematic analysis",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Twenty-two interviews produced four themes about the network's evolution and future health-equity priorities; findings are perceptions of involved members.,"Convenience sample of engaged US cancer-research network members, modest N and likely self-selection; no operational public-safety setting.",Interviewed network participants perceived a longstanding disparities focus and identified organizational actions and remaining needs for health equity.,"The study does not demonstrate that the network improved equity, cancer outcomes or population access, or that its model transfers to public safety.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0515,38233933,Planning and implementing community-based drug checking services in Scotland: a qualitative exploration using the consolidated framework for implementation research,RETAIN_FOR_HUMAN_CONFIRMATION,"qualitative implementation study using interviews, meeting notes and hybrid inductive-deductive CFIR analysis",QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Forty-three interviews and implementation notes generated nine constructs/themes across all five CFIR domains; results describe anticipated implementation, not service outcomes.","Scottish legal, health and harm-reduction context; overwhelmingly White sample; anticipated rather than observed implementation.","These Scottish stakeholders identified design, organizational, policing and community conditions they considered relevant to planned drug-checking services.","The study does not establish uptake, analytical accuracy, behavior change, overdose prevention or effectiveness of a service not yet operational.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0439,39119394,Evaluation of Current and Future Medical Staff Knowledge on the Course of Trauma Patient Management,RETAIN_FOR_HUMAN_CONFIRMATION,analytical cross-sectional voluntary survey using a proprietary 47-question trauma-knowledge instrument and unadjusted group comparisons,QUANTITATIVE_EVIDENCE,JBI Analytical Cross Sectional Studies,"Mean score was 63/117; paramedics averaged 78, doctors 73 and nurses 57. Prior-course participants averaged 77 versus 65 without a course (p<0.001); comparisons were unadjusted.","Voluntary social-media sample, proprietary instrument, no response denominator or confounder control, Polish curricula and civilian medical context.","Within this self-selected sample, knowledge scores differed across professional/education groups and by reported prior trauma-course participation.","The cross-sectional unadjusted comparisons do not show that courses caused higher knowledge, validate the proprietary test, measure practical competence or predict patient outcomes.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0405,39425094,The decriminalization of illicit drugs in British Columbia: a national evaluation protocol,RETAIN_FOR_HUMAN_CONFIRMATION,"prospective multi-study observational evaluation protocol with eight qualitative, quantitative and mixed-methods substudies",STUDY_PROTOCOL_EVIDENCE,Protocol Methods Completeness Check,No study results are reported; this record contributes prospective methods and an evaluation architecture only.,"Canadian legal and health-system policy, changing possession rules, concurrent initiatives and future data availability; no Brazilian results.","The protocol documents the planned scope, logic model, stakeholder structure and methodological challenges of evaluating British Columbia's policy.","It cannot establish any public-health, policing, economic or causal effect because outcomes have not yet been reported.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0335,40156033,"“I don’t let anybody die on my watch”: perspectives on the intersection of community overdose response and emergency medical services among people who use drugs in Seattle, WA",RETAIN_FOR_HUMAN_CONFIRMATION,"community-engaged qualitative study using convenience sampling, semi-structured interviews and hybrid CFIR-informed thematic analysis",QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Thirteen interviews generated three themes about peer overdose response, EMS decisions and police-related fear; findings reflect participant experience and perceptions.",Small self-selected Seattle sample with access to well-resourced legal harm reduction and local police/EMS arrangements.,"In this convenience sample, participants described active peer overdose-response roles and police-response fears that influenced decisions about contacting EMS.","The study does not estimate how often EMS is avoided, quantify police effects, establish overdose outcomes or represent people outside participating harm-reduction sites.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0316,40406195,Using Implementation Science to Improve Evidence-Based Policing: An Introduction for Researchers and Practitioners,RETAIN_FOR_HUMAN_CONFIRMATION,narrative review and conceptual practice orientation without a systematic review protocol,NARRATIVE_REVIEW_EVIDENCE,SANRA,"A 2023 author/librarian search identified six policing publications, but the paper is an orientation and conceptual synthesis rather than an effect review.","Predominantly US conceptual examples, non-systematic search and no empirical synthesis or Brazilian validation.",The review provides a structured conceptual account of how implementation-science frameworks could inform policing research and practice.,"It does not demonstrate that CFIR, EPIS or any implementation strategy improves policing outcomes, legitimacy, safety or sustainability.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0282,40710431,"Integrating Telemedical Supervision, Responder Apps, and Data-Driven Triage: The RuralRescue Model of Personalized Emergency Care",RETAIN_FOR_HUMAN_CONFIRMATION,"mixed-methods secondary implementation evaluation with uncontrolled pre-post quantitative components, economic modeling and formative organizational evidence",MIXED_METHODS_EVIDENCE,MMAT,"Reported examples include 3.96 tele-emergency cases/day, >90% idle time for a single district, and modeled cost reduction from EUR 696,949 per unit to EUR 57,300 per district in a 20-district centralized scenario; causal attribution is limited.","German EMS financing, rural geography, dispatcher infrastructure and telemedicine regulation differ materially from Brazilian public-safety and health systems.","This secondary project analysis reports operational, economic-model and organizational findings from the RuralRescue implementation.","The uncontrolled evaluation and modeled scenarios do not establish causal clinical benefit, mortality reduction, realized regional savings or superiority over alternative systems.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,VERSION_OF_RECORD,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0252,40979841,Why innovations in policing don’t work or don’t translate: An implementation science survey of US police leaders,RETAIN_FOR_HUMAN_CONFIRMATION,quantitative descriptive convenience survey with 31 investigator/executive-derived CFIR items and exploratory bivariate correlations,QUANTITATIVE_EVIDENCE,MMAT Quantitative Descriptive,"Seventy-two respondents completed the instrument with 46/2,232 item responses missing (2.0%); response rate could not be computed and results describe this selected leadership sample.","Convenience sample from change-oriented venues, no computable response rate, novel closed-form instrument, senior US leadership perspective and limited rank-and-file input.","In this selected US leadership sample, respondents rated several CFIR-aligned implementation determinants as salient and provided descriptive priorities for future research.","The survey does not establish prevalence across US policing, causal determinants of implementation success, innovation effectiveness or transferability to Brazil.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison pending or incomplete,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
PILOT_03,EV-0167,41537090,Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment,RETAIN_FOR_HUMAN_CONFIRMATION,"natural experiment comparing departments with versus without automated positive-feedback email, using cross-sectional surveys, adjusted ordered-logit and instrumental-variable models",QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,Adjusted probability of agreeing Truleo was appropriate was 21.7 percentage points higher in CGPD (p=.011); acceptability was 14.5 points higher (p=.054) and feasibility was not significant. IV coefficients were 1.226 (p=.042) and 1.428 (p=.030) for acceptability and appropriateness.,"Two Arizona agencies, voluntary cross-sectional perceptions, no baseline primary outcomes, possible department confounding, exposure misclassification and borderline instrument strength.","In these two departments, officers in the department with automated feedback reported higher appropriateness and the adjusted and IV analyses found positive associations for selected perception outcomes.","The study does not establish improved officer behavior, public safety, accountability, technology accuracy or general effects across agencies; department assignment was not randomized for this comparison.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,AUTHOR_ACCEPTED_MANUSCRIPT,INTEGRITY_CLEAR,,,,,,NO
