evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,source_url,human_confirmed
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q1,methodology/philosophical perspective congruity,UNCLEAR,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q2,methodology/research question congruity,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q3,methodology/data collection congruity,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q4,methodology/data representation and analysis congruity,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q5,methodology/interpretation congruity,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q6,researcher culturally or theoretically located,UNCLEAR,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q7,researcher influence addressed,UNCLEAR,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q8,participants and voices adequately represented,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q9,ethical conduct and approval,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0592,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q10,conclusions flow from analysis,YES,Methods P1; Results P1; Themes 1-4; Table 1; Discussion P1-P4; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q1,methodology/philosophical perspective congruity,UNCLEAR,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q2,methodology/research question congruity,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q3,methodology/data collection congruity,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q4,methodology/data representation and analysis congruity,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q5,methodology/interpretation congruity,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q6,researcher culturally or theoretically located,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q7,researcher influence addressed,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q8,participants and voices adequately represented,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q9,ethical conduct and approval,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0515,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q10,conclusions flow from analysis,YES,Methods P1-P7; Results P1-P4; Tables 1-3; Discussion; Conclusions,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q1,inclusion criteria clearly defined,YES,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q2,condition measured objectively,NO,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q3,exposure measured validly and reliably,UNCLEAR,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q4,outcome measured validly and reliably,UNCLEAR,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q5,confounders identified,NO,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q6,strategies for confounding stated,NO,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q7,appropriate statistical analysis,YES,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0439,JBI Analytical Cross Sectional Studies,revised 2026 tool,RISK_OF_BIAS_APPRAISAL,ANALYTICAL_CROSS_SECTIONAL,Q8,subjects and setting described in detail,YES,Materials and methods P1-P5; Results P1-P7; Figure 1; Discussion P1-P9; Conclusions P1,https://jbi.global/sites/default/files/2026-03/the_revised_jbi_critical_appraisal_tool_for_the.2.pdf,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q1,objectives explicit,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q2,logic model explicit,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q3,substudy designs identified,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q4,populations and stakeholders identified,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q5,outcomes and indicators prespecified,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q6,data integration specified,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q7,confounders and concurrent policies addressed,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0405,Protocol Methods Completeness Check,Pilot 03 controlled schema v1; non-scored,REPORTING_COMPLETENESS_CHECK,PROTOCOL,Q8,limitations and missing data anticipated,YES,Methods P1; Stakeholder engagement P1-P6; Logic model and evaluation design P1-P2; Figures 2-3; five domain sections; Challenges & limitations P1-P5,internal://pilot-03/protocol-methods-completeness-v1,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q1,methodology/philosophical perspective congruity,UNCLEAR,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q2,methodology/research question congruity,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q3,methodology/data collection congruity,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q4,methodology/data representation and analysis congruity,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q5,methodology/interpretation congruity,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q6,researcher culturally or theoretically located,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q7,researcher influence addressed,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q8,participants and voices adequately represented,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q9,ethical conduct and approval,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0335,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q10,conclusions flow from analysis,YES,Community engagement P1; Data collection P1-P3; Data analysis P1; Results P1-P4; Table 1; Table 2; Limitations P1,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q1,importance justified,YES,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q2,aims stated,YES,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q3,literature search described,PARTIAL,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q4,referencing adequate,YES,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q5,scientific reasoning adequate,YES,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0316,SANRA,2019; six-item scale used domain-by-domain without global score,METHODOLOGICAL_QUALITY_APPRAISAL,NARRATIVE_REVIEW,Q6,endpoint data presented appropriately,YES,Abstract; Introduction P1-P10; The State of Implementation Science in EBP P1-P8; Tables 1-3; framework and trial sections; Discussion P1-P6; Conclusion,https://doi.org/10.1186/s41073-019-0064-8,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q1,clear research questions,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q2,collected data address research questions,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q3,qualitative approach appropriate,UNCLEAR,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q4,qualitative collection adequate,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q5,findings derived from data,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q6,interpretation substantiated,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q7,coherence across qualitative process,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q8,participants representative,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q9,exposure and outcome measurements appropriate,NO,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q10,complete outcome data,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q11,confounders accounted for,NO,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
