evidence_id,pmid,zotero_key,field,previous_value,current_primary_value,resolution_status,resolution_reason,primary_source_url,verification_date,canonical_master_changed
EV-0158,41651286,4RDHET2J,authors,"Wickwire, Emerson M | Capaldi, Vincent F 2nd | So, Jennifer Y | Kim, Eungjae | Thomas, Connie | Johnston, Christine W | Maggio, Sarah | Elmore, Joshua S | Albrecht, Jennifer S | Verceles, Avelino C | Chen, Shuo","Wickwire, Emerson M | Capaldi, Vincent F | So, Jennifer Y | Kim, Eungjae | Thomas, Connie | Johnston, Christine W | Maggio, Sarah | Elmore, Joshua S | Albrecht, Jennifer S | Verceles, Avelino C | Chen, Shuo",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41651286/,2026-09-16,NO
EV-0183,41424497,8FSCV72Y,authors,"Wickwire, Emerson M | Collen, Jacob | Capaldi, Vincent F 2nd | Assefa, Samson Z | Jones, Rachell | Williams, Scott G | Thomas, Connie L | Williams, Daniel C | Albrecht, Jennifer S","Wickwire, Emerson M | Collen, Jacob | Capaldi, Vincent F | Assefa, Samson Z | Jones, Rachell | Williams, Scott G | Thomas, Connie L | Williams, Daniel C | Albrecht, Jennifer S",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41424497/,2026-09-16,NO
EV-0198,41346760,HCGKKRE9,authors,"Kjaergaard, Anders | Karstoft, Karen-Inge | Schmidt, Bjarke Waehrens | Kirk, Jeanette Wassar","Kjærgaard, Anders | Karstoft, Karen-Inge | Schmidt, Bjarke Wæhrens | Kirk, Jeanette Wassar",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41346760/,2026-09-16,NO
EV-0219,41209751,MM6MQUIQ,authors,"Sroczynski, Przemyslaw | Jedras, Krzysztof | Dobkowski, Grzegorz | Gazdzinska, Agata | Tomaszewski, Dariusz | Drozdowski, Robert | Janik, Michal","Sroczyński, Przemysław | Jędras, Krzysztof | Dobkowski, Grzegorz | Gaździńska, Agata | Tomaszewski, Dariusz | Drozdowski, Robert | Janik, Michał",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41209751/,2026-09-16,NO
EV-0222,41202565,JBFM7IE8,authors,"Rosen, Craig S | Peterson, Alan L | Riggs, David S | Haddock, Christopher K | Fong, Chunki | Young-McCaughan, Stacey | Cook, Jeffrey | Comtois, Katherine Anne | Borah, Elisa V | Davis, C Adrian | Dondanville, Katherine A | Finley, Erin P | Jahnke, Sara A | Mistretta, Melissa | Neitzer, Andrea | Wiltsey-Stirman, Shannon | Frick, Erin R | Hayes, Olivia | Clayton, Spencer | Conforte, Allison M | Flores, Araceli | Jinkerson, Jeremy | Jones, Zachary K | Kim, Hana J | Letendre, Margaret | Link, Jared S | Nofziger, Debra | Ringdahl, Erik N | Waggoner, John W | Woodworth, Craig | Ho, Emily | McLean, Carmen P","Rosen, Craig S | Peterson, Alan L | Riggs, David S | Haddock, Christopher K | Fong, Chunki | Young-McCaughan, Stacey | Cook, Jeffrey | Comtois, Katherine Anne | Borah, Elisa V | Davis, C Adrian | Dondanville, Katherine A | Finley, Erin P | Jahnke, Sara A | Mistretta, Melissa | Neitzer, Andrea | Wiltsey-Stirman, Shannon | Frick, Erin R | Hayes, Olivia | Clayton, Spencer | Conforte, Allison M | Flores, Araceli | Jinkerson, Jeremy | Jones, Zachary K | Kim, Hana J | Letendre, Margaret | Link, Jared S | Nofziger, Debra | Ringdahl, Erik N | Waggoner, John W | Woodworth, Craig | Ho, Emily | McLean, Carmen P | TACTICS Research Group",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/41202565/,2026-09-16,NO
EV-0270,40813778,T7DFMXDB,authors,"Bilal, Muhammad | Alam, Mahmood | Bapu, Deepashree | Korsgen, Stephan | Lal, Neeraj | Bach, Simon | Hajiyavand, Amir M | Ali, Muhammed | Soomro, Kamran | Qasim, Iqbal | Capik, Pawel | Khan, Aslam | Khan, Zaheer | Vohra, Hunaid | Caputo, Massimo | Beggs, Andrew D | Qayyum, Adnan | Qadir, Junaid | Ashraf, Shazad Q","Bilal, Muhammad | Alam, Mahmood | Bapu, Deepashree | Korsgen, Stephan | Lal, Neeraj | Bach, Simon | Hajiyavand, Amir M | Ali, Muhammed | Soomro, Kamran | Qasim, Iqbal | Capik, Paweł | Khan, Aslam | Khan, Zaheer | Vohra, Hunaid | Caputo, Massimo | Beggs, Andrew D | Qayyum, Adnan | Qadir, Junaid | Ashraf, Shazad Q",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/40813778/,2026-09-16,NO
EV-0332,40198226,H57A2N2W,year,2025,2026,RESOLVED_DUAL_DATE,Preservar ano-fonte/eletrônico e ano da edição atual; usar o ano da edição PubMed atual no fluxo derivado.,https://pubmed.ncbi.nlm.nih.gov/40198226/,2026-09-16,NO
EV-0337,40142938,D4TRYDC7,authors,"Zawadzka, Magdalena | Marszalkowska-Jakubik, Justyna | Ejchman-Pac, Ewelina | Pajak-Tarnacka, Beata | Szymanski, Pawel","Zawadzka, Magdalena | Marszałkowska-Jakubik, Justyna | Ejchman-Pac, Ewelina | Pająk-Tarnacka, Beata | Szymański, Paweł",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/40142938/,2026-09-16,NO
EV-0351,39985005,LWP5ZVK9,authors,"Nakonieczna, Aleksandra | Kwiatek, Magdalena | Abramowicz, Karolina | Zawadzka, Magdalena | Bany, Izabela | Glowacka, Patrycja | Skuza, Katarzyna | Lepionka, Tomasz | Szymanski, Pawel","Nakonieczna, Aleksandra | Kwiatek, Magdalena | Abramowicz, Karolina | Zawadzka, Magdalena | Bany, Izabela | Głowacka, Patrycja | Skuza, Katarzyna | Lepionka, Tomasz | Szymański, Paweł",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39985005/,2026-09-16,NO
EV-0354,39942299,IL2AD7PM,authors,"Dabrowska, Anna | Kobus, Monika | Starzak, Lukasz | Pekoslawski, Bartosz | Latas, Paulina","Dąbrowska, Anna | Kobus, Monika | Starzak, Łukasz | Pękosławski, Bartosz | Łataś, Paulina",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39942299/,2026-09-16,NO
EV-0389,39537367,YVQ4KLQA,authors,"Pierce, Joseph R Jr | Cohen, B S | Hauret, K G | Sharp, M A | Redmond, J E | Foulis, S A | Jones, B H","Pierce, Joseph R | Cohen, B S | Hauret, K G | Sharp, M A | Redmond, J E | Foulis, S A | Jones, B H",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39537367/,2026-09-16,NO
EV-0401,39449488,7MNCKJV2,authors,"Kukic, Filip | Zlojutro, Nemanja | Paspalj, Darko | Bajic, Senka | Kovacevic, Sasa | Vulin, Lazar | Radevic, Nenad | Koropanovski, Nenad","Kukić, Filip | Zlojutro, Nemanja | Paspalj, Darko | Bajić, Senka | Kovačević, Saša | Vulin, Lazar | Rađević, Nenad | Koropanovski, Nenad",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39449488/,2026-09-16,NO
EV-0405,39425094,N3LQZTNN,authors,"Russell, Cayley | Ali, Farihah | Imtiaz, Sameer | Butler, Amanda | Greer, Alissa | Rehm, Jurgen","Russell, Cayley | Ali, Farihah | Imtiaz, Sameer | Butler, Amanda | Greer, Alissa | Rehm, Jürgen | Decriminalization Evaluation Research Group",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39425094/,2026-09-16,NO
EV-0439,39119394,AGAPQVEJ,authors,"Dabrowska, Anna | Malik, Wiktoria | Czachor, Dorota | Jarych, Weronika | Wscislak, Anna | Swiader, Zuzanna | Komisarczyk, Lucja | Palczynski, Piotr","Dąbrowska, Anna | Malik, Wiktoria | Czachor, Dorota | Jarych, Weronika | Wściślak, Anna | Świąder, Zuzanna | Komisarczyk, Łucja | Pałczyński, Piotr",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/39119394/,2026-09-16,NO
EV-0451,38997903,TRQBX9K8,authors,"Lorei, Nathan C | Ashley, Robert L | Moberg, Lynnsee W | Butler, Cody R | Seib, Michael B 2nd | Hintz Merseal, Courtney N","Lorei, Nathan C | Ashley, Robert L | Moberg, Lynnsee W | Butler, Cody R | Seib, Michael B | Hintz Merseal, Courtney N",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/38997903/,2026-09-16,NO
EV-0490,38509815,NV3A9HPV,authors,"Standifird, Colin H | Kaisler, Sean | Triplett, Hunter | Lauria, Michael J | Fisher, Andrew D | Harrell, Andrew J 4th | White, Chelsea C 4th","Standifird, Colin H | Kaisler, Sean | Triplett, Hunter | Lauria, Michael J | Fisher, Andrew D | Harrell, Andrew J | White, Chelsea C",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/38509815/,2026-09-16,NO
EV-0582,37463381,Y5NL5334,authors,"Prontenko, Kostiantyn V | Okhrimenko, Ivan capital EM, Cyrillic | Yevdokimova, Olena O | Mannapova, Kateryna R | Filonenko, Volodymyr M | Tverdokhvalova, Iuliia L | Bondarenko, Liliia O","Prontenko, Kostiantyn V | Okhrimenko, Ivan М | Yevdokimova, Olena O | Mannapova, Kateryna R | Filonenko, Volodymyr M | Tverdokhvalova, Iuliia L | Bondarenko, Liliia O",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/37463381/,2026-09-16,NO
EV-0605,37036887,NXHINVC8,authors,"Singichetti, Bhavna | Marshall, Stephen W | Breedlove, Katherine M | Cameron, Kenneth L | McCrea, Michael A | McAllister, Thomas W | Broglio, Steven P","Singichetti, Bhavna | Marshall, Stephen W | Breedlove, Katherine M | Cameron, Kenneth L | McCrea, Michael A | McAllister, Thomas W | Broglio, Steven P | CARE Consortium Investigators",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/37036887/,2026-09-16,NO
EV-0610,36958117,VFVZ5F7P,authors,"Hodson, Patricia | Swiger, Pauline A | Campbell, Caitlin Marley | Orina, Judy Ann | Javed, Mariyam | Hamilton, Wendy | Williams, Kathy | Foots, Lozay 3rd | Levenson, Jonathan | Robins, Katherine | Pierce, Taylor | McCarthy, Mary | Patrician, Patricia A","Hodson, Patricia | Swiger, Pauline A | Campbell, Caitlin Marley | Orina, Judy Ann | Javed, Mariyam | Hamilton, Wendy | Williams, Kathy | Foots, Lozay | Levenson, Jonathan | Robins, Katherine | Pierce, Taylor | McCarthy, Mary | Patrician, Patricia A",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/36958117/,2026-09-16,NO
EV-0628,36764722,VD56CH47,authors,"de Rooij, Doret | Janse, Jacobine | Raab, Jorg | Timen, Aura","de Rooij, Doret | Janse, Jacobine | Raab, Jörg | Timen, Aura | EU Healthy Gateways Joint Action consortium",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/36764722/,2026-09-16,NO
EV-0691,35639888,79ECG3M5,authors,"Butler, Frank K Jr | Burkholder, Todd | Chernenko, Michael | Chimiak, James | Chung, James | Cubano, Miguel | Gurney, Jennifer M | Hall, Andrew B | Holcomb, John B | Kotora, Joseph | Lenart, Mark | Long, Ann | Papalski, Wayne | Rich, Thomas A | Tripp, Mike | Shackelford, Stacy A | Tadlock, Matt D | Timby, Jeffrey W | Drew, Brendon","Butler, Frank K | Burkholder, Todd | Chernenko, Michael | Chimiak, James | Chung, James | Cubano, Miguel | Gurney, Jennifer M | Hall, Andrew B | Holcomb, John B | Kotora, Joseph | Lenart, Mark | Long, Ann | Papalski, Wayne | Rich, Thomas A | Tripp, Mike | Shackelford, Stacy A | Tadlock, Matt D | Timby, Jeffrey W | Drew, Brendon",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/35639888/,2026-09-16,NO
EV-0711,35278327,NLZ9P3XT,authors,"Park, Gloria H | Knust, Susannah K | Haselhuhn, Seth | Whalen, Samuel J | Deuster, Patricia A | Greene, Carroll H 3rd | Dretsch, Michael N | Bonvie, Joseph L | Lippy, Robert D | Lunasco, Travis K | Myatt, Craig A","Park, Gloria H | Knust, Susannah K | Haselhuhn, Seth | Whalen, Samuel J | Deuster, Patricia A | Greene, Carroll H | Dretsch, Michael N | Bonvie, Joseph L | Lippy, Robert D | Lunasco, Travis K | Myatt, Craig A",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/35278327/,2026-09-16,NO
EV-0727,35076700,H7XKJIDC,authors,"Hawk, Kathryn | McCormack, Ryan | Edelman, E Jennifer | Coupet, Edouard Jr | Toledo, Nicolle | Gauthier, Phoebe | Rotrosen, John | Chawarski, Marek | Martel, Shara | Owens, Patricia | Pantalon, Michael V | O'Connor, Patrick | Whiteside, Lauren K | Cowan, Ethan | Richardson, Lynne D | Lyons, Michael S | Rothman, Richard | Marsch, Lisa | Fiellin, David A | D'Onofrio, Gail","Hawk, Kathryn | McCormack, Ryan | Edelman, E Jennifer | Coupet, Edouard | Toledo, Nicolle | Gauthier, Phoebe | Rotrosen, John | Chawarski, Marek | Martel, Shara | Owens, Patricia | Pantalon, Michael V | O'Connor, Patrick | Whiteside, Lauren K | Cowan, Ethan | Richardson, Lynne D | Lyons, Michael S | Rothman, Richard | Marsch, Lisa | Fiellin, David A | D'Onofrio, Gail",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/35076700/,2026-09-16,NO
EV-0736,34969144,9XKFAGGC,authors,"Riesberg, Jamie C | Gurney, Jennifer M | Morgan, Meg | Northern, D Marc | Onifer, Dana J | Gephart, William J | Remley, Michael A | Eickhoff, Erin | Miller, Carl | Eastridge, Brian J | Montgomery, Harold R | Butler, Frank K Jr | Drew, Brendon","Riesberg, Jamie C | Gurney, Jennifer M | Morgan, Meg | Northern, D Marc | Onifer, Dana J | Gephart, William J | Remley, Michael A | Eickhoff, Erin | Miller, Carl | Eastridge, Brian J | Montgomery, Harold R | Butler, Frank K | Drew, Brendon",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/34969144/,2026-09-16,NO
EV-0737,34969143,V6WGI5ZG,authors,"Deaton, Travis G | Auten, Jonathan D | Betzold, Richard | Butler, Frank K Jr | Byrne, Terence | Cap, Andrew P | Donham, Benjamin | DuBose, Joseph J | Fisher, Andrew D | Hancock, James | Jourdain, Victor | Knight, Ryan M | Littlejohn, Lanny F | Martin, Matthew J | Toland, Kevin | Drew, Brendon","Deaton, Travis G | Auten, Jonathan D | Betzold, Richard | Butler, Frank K | Byrne, Terence | Cap, Andrew P | Donham, Benjamin | DuBose, Joseph J | Fisher, Andrew D | Hancock, James | Jourdain, Victor | Knight, Ryan M | Littlejohn, Lanny F | Martin, Matthew J | Toland, Kevin | Drew, Brendon",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/34969143/,2026-09-16,NO
EV-0744,34895347,TB5PX4YA,authors,"Borge, Randi Hovden | Skar, Ane-Marthe Solheim | Endsjo, Mathilde | Egeland, Karina M","Borge, Randi Hovden | Skar, Ane-Marthe Solheim | Endsjø, Mathilde | Egeland, Karina M",RESOLVED_CURRENT_PUBMED_AUTHORSHIP,"Preservar valor anterior e usar a autoria PubMed atual no fluxo derivado, incluindo autoria coletiva/diacríticos.",https://pubmed.ncbi.nlm.nih.gov/34895347/,2026-09-16,NO
