evidence_id,pmid,zotero_key,doi,title,workflow_status,priority_tier,priority_score,lawful_availability_score,operational_relevance_score,quality_potential_score,transferability_potential_score,lawful_access_status,lawful_access_url,publication_types,families,full_text_obtained,quality_appraisal_complete,integrity_cleared_for_use,human_confirmation,claim_ready,limitation
EV-0791,33909512,JL2TE34F,10.1080/10903127.2021.1922556,Assessment of Fall-Related Emergency Medical Service Calls and Transports after a Community-Level Fall-Prevention Initiative.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8626520/,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0776,34238863,BM2ILMQS,10.1097/ta.0000000000003337,Is tactical combat casualty care in terrorist attacks suitable for civilian first responders?,FULL_TEXT_QUEUE,P1,20,2,11,3,4,DISCOVERY_REQUIRED,https://doi.org/10.1097/ta.0000000000003337,Journal Article | Systematic Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0736,34969144,9XKFAGGC,10.55460/9u6s-1k7m,The Management of Abdominal Evisceration in Tactical Combat Casualty Care: TCCC Guideline Change 20-02.,FULL_TEXT_QUEUE,P1,20,2,11,3,4,DISCOVERY_REQUIRED,https://doi.org/10.55460/9u6s-1k7m,Journal Article | Practice Guideline | Systematic Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0723,35120531,NDHXQXSC,10.1186/s12954-022-00590-z,The Bronze Age of drug checking: barriers and facilitators to implementing advanced drug checking amidst police violence and COVID-19.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8814788/,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0629,36747268,LCFHG7J2,10.1186/s13722-023-00363-4,Implementation of an integrated infectious disease and substance use disorder team for injection drug use-associated infections: a qualitative study.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC9902242/,"Journal Article | Research Support, N.I.H., Extramural",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0592,37326779,C3CAQKDL,10.1007/s10552-023-01732-9,Supporting implementation science and health equity in cancer prevention and control through research networks.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10689544/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0515,38233933,FV2SE2HG,10.1186/s13011-023-00590-7,Planning and implementing community-based drug checking services in Scotland: a qualitative exploration using the consolidated framework for implementation research.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10795311/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0439,39119394,AGAPQVEJ,10.7759/cureus.64132,Evaluation of Current and Future Medical Staff Knowledge on the Course of Trauma Patient Management.,FULL_TEXT_QUEUE,P1,20,4,11,1,4,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11307241/,Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0405,39425094,N3LQZTNN,10.1186/s12889-024-20336-9,The decriminalization of illicit drugs in British Columbia: a national evaluation protocol.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11490149/,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0353,39946838,II8QGH33,10.1016/j.comppsych.2025.152581,Developing families-forward innovations in public safety personnel organizations.,FULL_TEXT_QUEUE,P1,20,2,11,1,6,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.comppsych.2025.152581,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0342,40111854,2UL24D28,10.1037/ser0000957,"Exploring perceptions of burnout, compassion fatigue, and coping: An implementation science approach to responder stress.",FULL_TEXT_QUEUE,P1,20,2,11,1,6,DISCOVERY_REQUIRED,https://doi.org/10.1037/ser0000957,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0335,40156033,RALPHKM3,10.1186/s12954-025-01193-0,"""I don't let anybody die on my watch"": perspectives on the intersection of community overdose response and emergency medical services among people who use drugs in Seattle, WA.",FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC11951663/,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0316,40406195,IPT4R6IA,10.1177/10986111241265290,Using Implementation Science to Improve Evidence-Based Policing: An Introduction for Researchers and Practitioners.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12094109/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0282,40710431,DSDH9DAX,10.3390/jpm15070314,"Integrating Telemedical Supervision, Responder Apps, and Data-Driven Triage: The RuralRescue Model of Personalized Emergency Care.",FULL_TEXT_QUEUE,P1,20,4,11,1,4,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12298807/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0252,40979841,CGBGDU6Y,10.1080/15614263.2025.2512806,Why innovations in policing don't work or don't translate: An implementation science survey of US police leaders.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12448121/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0225,41175613,K67WZT9Y,10.1016/j.comppsych.2025.152643,"Adaptation, implementation, and evaluation of a protective mental health intervention (Resilient minds) for Canadian volunteer firefighters.",FULL_TEXT_QUEUE,P1,20,2,11,1,6,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.comppsych.2025.152643,"Journal Article | Research Support, Non-U.S. Gov't",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0167,41537090,X6PMUAYB,10.1007/s11292-025-09711-7,Does automated feedback impact the acceptability of AI-generated police body worn camera review? An implementation science natural experiment.,FULL_TEXT_QUEUE,P1,20,4,9,1,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12798756/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0118,41989421,N383QBQW,10.1037/ser0001026,Contextual determinants of the implementation of a mental health diversion policy in California: Lessons learned from local implementation partners.,FULL_TEXT_QUEUE,P1,20,2,11,1,6,DISCOVERY_REQUIRED,https://doi.org/10.1037/ser0001026,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0103,42093038,MG4ER9GE,10.1186/s13049-026-01621-5,The role of tactical police medics in the prehospital environment: results from an interview study.,FULL_TEXT_QUEUE,P1,20,4,11,1,4,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC13147615/,Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1301,21761154,APIWLAEY,10.1007/s11121-011-0234-5,Family-centered preventive intervention for military families: implications for implementation science.,FULL_TEXT_QUEUE,P1,19,4,11,1,3,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC3218271/,"Journal Article | Research Support, U.S. Gov't, Non-P.H.S.",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1238,24084057,GC94XR2R,10.1016/j.jemermed.2013.08.022,Physician roles in tactical emergency medical support: the first 20 years.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.jemermed.2013.08.022,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1208,24952052,4U2VSEKB,10.55460/2qza-hklc,Development of a National Consensus for Tactical Emergency Medical Support (TEMS) Training Programs--Operators and Medical Providers.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.55460/2qza-hklc,Consensus Statement | Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1161,26482826,Z6LUMA39,10.1016/j.jemermed.2015.09.013,The Hartford Consensus on Active Shooters: Implementing the Continuum of Prehospital Trauma Response.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.jemermed.2015.09.013,Consensus Statement | Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1096,28318991,N7RLX6Y2,10.1016/j.wem.2016.12.005,Bleeding Control Using Hemostatic Dressings: Lessons Learned.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.wem.2016.12.005,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1089,28478999,5YXFZFF2,10.1016/j.wem.2017.03.002,Integration of Tactical EMS in the National Park Service.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1016/j.wem.2017.03.002,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1039,29373993,6MPHY37M,10.1186/s13063-017-2437-y,A hybrid type I trial to increase Veterans' access to insomnia care: study protocol for a randomized controlled trial.,FULL_TEXT_QUEUE,P1,19,4,11,1,3,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC5787269/,Clinical Trial Protocol | Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1024,29635602,D5GFM9SJ,10.1093/milmed/usx211,A Review of Casualties Transported to Role 2 Medical Treatment Facilities in Afghanistan.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1093/milmed/usx211,"Journal Article | Research Support, U.S. Gov't, Non-P.H.S. | Review",B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0796,33824854,JFH3WYDJ,10.4102/ajlm.v10i1.1057,"From benchmarking to best practices: Lessons from the laboratory quality improvement programme at the military teaching hospital in Cotonou, Benin.",FULL_TEXT_QUEUE,P1,19,4,11,1,3,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC8008048/,Journal Article,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0632,36689353,YI553PD6,10.1080/10903127.2023.2172493,"Comparing the Effects of Low-Dose Ketamine, Fentanyl, and Morphine on Hemorrhagic Tolerance and Analgesia in Humans.",FULL_TEXT_QUEUE,P1,19,4,11,3,1,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10329983/,"Journal Article | Randomized Controlled Trial | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't | Research Support, U.S. Gov't, Non-P.H.S.",B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0458,38943537,LNMMU5UA,10.1093/milmed/usae332,Organizational Capacity for Sexual Assault Prevention Within a U.S. Army Installation.,FULL_TEXT_QUEUE,P1,19,4,11,1,3,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC13396151/,"Journal Article | Research Support, N.I.H., Extramural | Research Support, U.S. Gov't, Non-P.H.S.",C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0452,38996420,FGZVT27X,10.1097/ta.0000000000004395,Who needs a tourniquet? And who does not? Lessons learned from a review of tourniquet use in the Russo-Ukrainian war.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1097/ta.0000000000004395,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0376,39727243,HB4UCH3I,10.1177/15248380241305567,Integrating Implementation Science in Interpersonal Violence Research and Practice: A Systematic Review of Barriers and Facilitators of Implementation.,FULL_TEXT_QUEUE,P1,19,4,6,3,6,PMC_AVAILABLE,https://pmc.ncbi.nlm.nih.gov/articles/PMC12202711/,Journal Article | Systematic Review,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0331,40200615,IBDN3TES,10.59556/japi.73.0888,Implementation Strategies to Improve Survival Outcomes after Out-of-Hospital Cardiac Arrest: Global Challenges and Disparities.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.59556/japi.73.0888,Journal Article | Review,C,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0232,41124342,EGARHWCV,10.1093/milmed/usaf505,Impact of Acoustic Gunshot Detection Technology on Prehospital Transport and Time to Treatment: A Narrative Review With Directions for Future Military Conflicts.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1093/milmed/usaf505,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-0173,41505037,9M52HSVN,10.1111/trf.18467,Tactical transfusion-Importance and logistics of integrating prehospital blood in tactical EMS operations.,FULL_TEXT_QUEUE,P1,19,2,11,2,4,DISCOVERY_REQUIRED,https://doi.org/10.1111/trf.18467,Journal Article | Review,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
EV-1413,10163383,4967Q6JR,10.1017/s1049023x00042953,Into the fray: integration of emergency medical services and special weapons and tactics (SWAT) teams.,FULL_TEXT_QUEUE,P1,18,2,11,1,4,DISCOVERY_REQUIRED,https://doi.org/10.1017/s1049023x00042953,Journal Article,B,NO,NO,PENDING_FULL_TEXT,,NO,"Title/abstract screening alone does not establish effectiveness, causality, methodological quality, transferability to Brazilian public safety or an institutional recommendation."
