evidence_id,pmid,zotero_key,doi,title,batch,workflow_status,ai_decision_provisional,criterion,confidence,source,integrity_status,human_reviewer,human_date,human_decision,human_justification,claim_ready,what_not_allowed
EV-1323,20117593,ESB35NYC,10.1016/j.amepre.2009.10.004,A process to identify military injury prevention priorities based on injury type and limited duty days.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/20117593/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1320,20389198,YPG68DJ9,10.1017/s1935789300002445,"Involvement of the US Department of Defense in Civilian Assistance, Part I: a quantitative description of the projects funded by the Overseas Humanitarian, Disaster, and Civic Aid Program.",ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/20389198/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1304,21521406,G8Z4HWCH,10.1111/j.1460-9592.2011.03590.x,Lessons for pediatric anesthesia from audit and incident reporting.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/21521406/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1293,22128653,NBPUCD4T,10.7205/milmed-d-10-00221,Recognizing asthma mimics and asthma complications.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/22128653/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1271,23113435,NP5NFAE3,10.7205/milmed-d-12-00119,Medical stability operations--one approach to transforming the Department of Defense Military Health System.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/23113435/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1257,23449049,V7IKEY2V,10.3113/jsoa.2013.0010,Outcomes following cervical disc arthroplasty in an active duty military population.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/23449049/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1237,24139220,WYGUQKGJ,10.1016/j.jamcollsurg.2013.07.002,"The Hartford Consensus: THREAT, a medical disaster preparedness concept.",ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,No abstract is available in the current PubMed record; title alone is insufficient for exclusion.,LOW,https://pubmed.ncbi.nlm.nih.gov/24139220/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1218,24631229,D3WYS6MT,10.1016/j.wem.2013.12.026,Evaluation of fluid bolus administration rates using ruggedized field intravenous systems.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/24631229/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1214,24741471,FCLFE4JN,10.1186/2193-1801-3-126,Cultural heritage training in the US military.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/24741471/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1206,24996853,URXUP96V,10.1016/j.jocn.2014.05.008,Outcomes following cervical disc arthroplasty: a retrospective review.,ADJ-02,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/24996853/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1203,25029010,9B529SAF,10.1519/jsc.0000000000000628,Salivary hormone response to 12-week block-periodized training in naval special warfare operators.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/25029010/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1197,25333679,I47E3QZP,10.1080/02640414.2014.969295,"Are the Yo-Yo intermittent recovery test levels 1 and 2 both useful? Reliability, responsiveness and interchangeability in young soccer players.",ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/25333679/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1184,25643544,Q9TILZBM,,Effects of two different 5 weeks training programs on the physical fitness of military recruits.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/25643544/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1182,25745376,UMCQTYKA,,"Toward innovative, cost-effective, and systemic solutions to improve outcomes and well-being of military families affected by autism spectrum disorder.",ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/25745376/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1177,26085551,GWWDE6XL,10.1128/cmr.00039-14,Respiratory Infections in the U.S. Military: Recent Experience and Control.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26085551/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1170,26201507,VJAHJPIL,10.1002/jts.22028,Recent Sexual Trauma and Adverse Health and Occupational Outcomes Among U.S. Service Women.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26201507/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1167,26246348,U39H9QF4,10.1136/jramc-2015-000502,Deep vein thrombosis and pulmonary embolism in the military patient.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26246348/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1157,26506186,LTAECMC3,10.1519/jsc.0000000000001117,"Examining the Relationship Between Mental, Physical, and Organizational Factors Associated With Attrition During Maritime Forces Training.",ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26506186/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1152,26540713,T2CXHZSZ,10.7205/milmed-d-14-00702,The Occupational Impact of Single-Level Cervical Disc Arthroplasty in an Active Duty Military Population.,ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26540713/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1150,26633667,G5JBP8SU,10.7205/milmed-d-14-00467,"Relationships Between Physical Fitness, Demands of Flight Duty, and Musculoskeletal Symptoms Among Military Pilots.",ADJ-03,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/26633667/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1139,27115044,3ZALLD99,10.4085/1062-6050-51.5.03,Osteoarthritis and the Tactical Athlete: A Systematic Review.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/27115044/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1138,27127415,A64QBSE8,10.4137/becb.s36277,Prediction of Peaks of Seasonal Influenza in Military Health-Care Data.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/27127415/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1123,27612377,HKSHBYHY,10.7205/milmed-d-15-00502,Mission Compromised? Drug-Induced Liver Injury From Prohormone Supplements Containing Anabolic-Androgenic Steroids in Two Deployed U.S. Service Members.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/27612377/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1111,28068161,63AGN3QV,10.4085/1062-6050-51.12.16,Introduction to the Tactical Athlete Special Issue.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,No abstract is available in the current PubMed record; title alone is insufficient for exclusion.,LOW,https://pubmed.ncbi.nlm.nih.gov/28068161/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1106,28116111,4LB9R6X8,10.1186/s40779-016-0112-3,A review of the physiological and psychological health and wellbeing of naval service personnel and the modalities used for monitoring.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28116111/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1104,28264792,YVAQRXR7,10.2196/resprot.6993,Enhancing mHealth Technology in the Patient-Centered Medical Home Environment to Activate Patients With Type 2 Diabetes: A Multisite Feasibility Study Protocol.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28264792/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1099,28290956,9ZIXW2CX,10.7205/milmed-d-16-00030,Multidisciplinary In Situ Simulation-Based Training as a Postpartum Hemorrhage Quality Improvement Project.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28290956/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1098,28290960,QKW7UIEF,10.7205/milmed-d-16-00085,Outcomes Following Multilevel Cervical Disc Arthroplasty in the Young Active Population.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28290960/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1095,28388218,SRYDPNEQ,10.1089/hs.2017.0008,The Department of Defense Chemical and Biological Defense Program: An Enabler of the Third Offset Strategy.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28388218/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1064,28969341,TMJQM3HZ,10.1093/nutrit/nux007,Caffeine to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,ADJ-04,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28969341/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1063,28969342,NC376JLC,10.1093/nutrit/nux008,Omega-3 polyunsaturated fatty acids to optimize cognitive function for military mission-readiness: a systematic review and recommendations for the field.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28969342/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1060,28969346,ZQKGU5I8,10.1093/nutrit/nux019,Priorities for implementing nutritional science into practice to optimize military performance.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/28969346/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1054,29087880,BD8P48UZ,10.7205/milmed-d-17-00107,Perioperative Gabapentin Improves Patient-Centered Outcomes After Inguinal Hernia Repair.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/29087880/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1025,29635539,UIVSG4B5,10.1093/milmed/usy051,The Initial Impact of Tele-Critical Care on the Surgical Services of a Community Military Hospital.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/29635539/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1021,29704778,HLW85WWN,10.1016/j.evalprogplan.2018.03.008,Lessons learned: Evaluating the program fidelity of UNWomen Partnership for Peace domestic violence diversion program in the Eastern Caribbean.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/29704778/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1017,29889960,XS8U4T9B,10.55460/vz0q-y41s,Optimizing Tactical Medical Performance: The Effect of Light Hue on Vision Testing.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/29889960/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1007,30281097,ZZIFKD37,10.1093/fampra/cmy078,Caring for veterans in US civilian primary care: qualitative interviews with primary care providers.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30281097/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-1002,30371877,3PYTBTMY,10.1093/milmed/usy269,Operational Readiness: Redesigning Advanced Practice Registered Nurse (APRN) Curriculum for an Evolving Battlefield.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30371877/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0995,30516340,S2TUKHZ6,10.1111/wvn.12336,Confronting Challenges in Reducing Heart Failure 30-Day Readmissions: Lessons Learned With Implications for Evidence-Based Practice.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30516340/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0992,30594314,66ZEHYUD,10.1016/j.injury.2018.12.012,Specific stretchers enhance rapid extraction by tactical medical support teams in mass casualty incidents.,ADJ-05,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30594314/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0991,30609244,S2WLG7N2,10.1002/msc.1378,Risk of post-traumatic knee osteoarthritis after knee injury in military service members.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30609244/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0985,30811361,ZGMRT6M8,10.1097/corr.0000000000000487,Do Spatiotemporal Gait Parameters Improve After Pilon Fracture in Patients Who Use the Intrepid Dynamic Exoskeletal Orthosis?,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/30811361/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0963,31004169,6HRHWREF,10.1093/milmed/usz073,An Editorial Review of Mobile Health: Implications for the US Military Health System.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31004169/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0958,31125075,LJ7UCN4B,10.1093/milmed/usz124,Not Just Hocus POCUS: Implementation of a Point of Care Ultrasound Curriculum for Internal Medicine Trainees at a Large Residency Program.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31125075/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0957,31132108,7D3W5SWB,10.1093/milmed/usz079,Survey of Sexual Function and Pornography.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31132108/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0929,31592871,AIWG9M8K,10.1097/jxx.0000000000000285,"Finding the evidence: Screening of Military Family Research, 2014-2017.",ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31592871/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0918,31863095,TSUVFEWZ,10.1093/milmed/usz382,Analysis of Factors and Conditions Influencing Military Neurosurgery Recruitment and Retention.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31863095/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0910,31961334,NGZTFZR4,10.2196/14996,Videoconferencing Psychotherapy in the Public Sector: Synthesis and Model for Implementation.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/31961334/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0905,32074300,N5KVRFZM,10.1093/milmed/usz209,The Joint Emergency Medicine Exercise: A Capstone Training Evolution of a Military Unique Curriculum for Emergency Medicine Residents.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/32074300/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0903,32074307,TKNPHTYU,10.1093/milmed/usz318,Considerations for Development of Exposure Limits for Chemicals Encountered During Aircraft Operation.,ADJ-06,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/32074307/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0891,32206880,9CAJV87H,10.1007/s00068-020-01347-8,Emergency response to terrorist attacks: results of the federal-conducted evaluation process in Germany.,ADJ-07,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/32206880/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
EV-0887,32314646,KL6VLJGY,10.1177/2325958220919276,"Perceived Need and Acceptability of a Community-Based Peer Navigator Model to Engage Key Populations in HIV Care in Tijuana, Mexico.",ADJ-07,PENDING_ADJUDICATION,PENDING_ADJUDICATION,"A potentially relevant concept is present, but direct applicability is ambiguous at title/abstract level.",MODERATE,https://pubmed.ncbi.nlm.nih.gov/32314646/,Verified — clear,,,,,NO,"Title/abstract information is insufficient for a substantive scientific, causal, transferability or institutional claim."
