evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,source_url,human_confirmed
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q10,conclusions flow from analysis,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q2,methodology/research question congruity,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q3,methodology/data collection congruity,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q4,methodology/data representation and analysis congruity,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q5,methodology/interpretation congruity,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q6,researcher culturally or theoretically located,UNCLEAR,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q7,researcher influence addressed,UNCLEAR,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q8,participants and voices adequately represented,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0157,JBI Qualitative Research,2024 checklist; file published 2026-05,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_STUDY,Q9,ethical conduct and approval,YES,Sample identification and recruitment P1; Interview guide P1; Data collection P1-P2; Data analysis P1-P3; Findings P1-P2; Barriers P1-P5; Facilitators P1-P4; Discussion P1-P6,https://jbi.global/sites/default/files/2026-05/2024_Checklist_for_Qualitative_Research_1.docx,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.1,Is there an adequate rationale for using mixed methods?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.2,Are components effectively integrated?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.3,Are integrated outputs adequately interpreted?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.4,Are divergences and inconsistencies adequately addressed?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.5,Do components adhere to the quality criteria of each tradition?,NO,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.1,Is the qualitative approach appropriate?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.2,Are qualitative data collection methods adequate?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.3,Are findings adequately derived from the data?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.4,Is interpretation substantiated by data?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.5,"Is there coherence between data sources, collection, analysis and interpretation?",YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.1,Is the sampling strategy relevant to address the quantitative question?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.2,Is the sample representative of the target population?,NO,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.3,Are the measurements appropriate?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.4,Is the risk of nonresponse bias low?,UNCLEAR,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.5,Is the statistical analysis appropriate?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S1,Are there clear research questions?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0160,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S2,Do the collected data allow the research questions to be addressed?,YES,Methods P1; Exploration P1; In-Depth Interviews P1-P4; Agency Relationships P1; Respondent Driven Sampling Survey P1; Triangulation P1; Adoption/Preparation P1-P2; Evaluation P1-P2; Implementation & Evaluation Phases P1-P6; Limitations and Future Directions P1-P3,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.1,Is there an adequate rationale for using mixed methods?,UNCLEAR,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.2,Are components effectively integrated?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.3,Are integrated outputs adequately interpreted?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.4,Are divergences and inconsistencies adequately addressed?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS_INTEGRATION,5.5,Do components adhere to the quality criteria of each tradition?,NO,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.1,Is the qualitative approach appropriate?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.2,Are qualitative data collection methods adequate?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.3,Are findings adequately derived from the data?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.4,Is interpretation substantiated by data?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUALITATIVE_COMPONENT,1.5,"Is there coherence between data sources, collection, analysis and interpretation?",YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.1,Is the sampling strategy relevant to address the quantitative question?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.2,Is the sample representative of the target population?,NO,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.3,Are the measurements appropriate?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.4,Is the risk of nonresponse bias low?,NO,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE_COMPONENT,4.5,Is the statistical analysis appropriate?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S1,Are there clear research questions?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0171,MMAT,2018,METHODOLOGICAL_QUALITY_APPRAISAL,SCREENING,S2,Do the collected data allow the research questions to be addressed?,YES,Study design P1; Participants P1; Sampling and recruitment P1; Measures P1; Data collection P1; Qualitative data analysis P1; WAI analysis P1; Administrative data P1; Results P1; Feasibility and acceptability P1-P4; Discussion P1-P7,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
