pilot,evidence_id,pmid,title,ai_decision_provisional,design,evidence_class,instrument,main_findings,limitations,supported_claims,unsupported_claims,pending_items,human_reviewer,human_review_date,human_decision,human_justification,human_confirmation,claim_ready
PILOT_02,EV-0367,39808097,Emergency Nurses’ Perspectives on Adopting Geriatric Screenings for Cognitive Impairment: A Qualitative Study,RETAIN_FOR_HUMAN_CONFIRMATION,qualitative case study using semi-structured interviews and CFIR-guided deductive-inductive analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,"Eleven nurses rated delirium screening feasibility at a mean 3.9/5 and dementia screening at 3.45/5; these are perceptions, not implementation or patient outcomes.","Single under-resourced US safety-net hospital, daytime recruitment and no Brazilian or public-safety workforce implementation.","In this single-site sample, interviewed nurses identified concrete barriers and facilitators to introducing delirium and dementia screening.","The study does not establish screening effectiveness, diagnostic accuracy, patient-safety benefit, adoption rates or generalizability to other emergency departments.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0176,41492854,"“Convenience, Quickness, and Compassion”: Experiences of People Involved in the Criminal‐Legal System Accessing Medications for Opioid Use Disorder Services From a Mobile Unit in Chicago",RETAIN_FOR_HUMAN_CONFIRMATION,qualitative descriptive study using semi-structured interviews and inductive thematic analysis,QUALITATIVE_EVIDENCE,JBI Qualitative Research,Thirteen interviews produced five themes and eight subthemes; findings describe service experiences and perceived access conditions.,Small service-engaged sample from a few Chicago neighborhoods and a specific US treatment and criminal-legal context.,These 13 participants reported that mobile MOUD access was supported by convenience and compassionate care and constrained by structural barriers.,"The study does not estimate treatment effectiveness, retention, overdose reduction, causal benefit or experiences of people unable to access the service.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0171,41520119,Implementing a peer navigation program for individuals with serious mental illness in the criminal legal system: insights and lessons learned,RETAIN_FOR_HUMAN_CONFIRMATION,"mixed-methods implementation process evaluation integrating qualitative interviews, descriptive WAI ratings and document review",MIXED_METHODS_EVIDENCE,MMAT,Three navigators supplied 12 WAI ratings with high descriptive alliance scores; opinions about effectiveness were mixed and no client-effect estimate was tested.,"Four Black male navigators in one locality, three survey respondents, unstable post-release follow-up and no powered outcome comparison.","Within this small pilot, participating peer navigators identified implementation strengths, barriers and refinements for MAPS.","The study does not establish service-linkage effectiveness, cost-effectiveness, reduced reincarceration or client outcomes.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0160,41626406,Building Community Capacity for Harm Reduction: An Adaptive Implementation Science Approach in Rural Appalachian Ohio,RETAIN_FOR_HUMAN_CONFIRMATION,"adaptive mixed-methods implementation project with formative interviews, respondent-driven survey, network analysis and process evaluation",MIXED_METHODS_EVIDENCE,MMAT,The article reports implementation activities and sustainment examples; planned repeated survey and population-outcome analyses were not completed after COVID-19 disruption.,"Grant-supported US rural harm-reduction context, local legal climate, incomplete outcome evaluation and COVID-era adaptation differ from Brazil.",The project demonstrates how these three counties co-developed and delivered adaptive capacity-building activities and documents their process outputs.,"It does not establish reductions in overdose or infection, causal community benefit, effectiveness of individual activities or sustainability across settings.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0157,41673910,Drug checking services: barriers and facilitators to implementation by U.S. syringe services programs,RETAIN_FOR_HUMAN_CONFIRMATION,"qualitative implementation study using semi-structured interviews, reflexive thematic analysis and secondary CFIR coding",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Eight of 23 represented programs had implemented advanced services; this descriptive count accompanies qualitative themes and is not an effectiveness estimate.,"Purposive US program sample, program representatives rather than service users, and US legal and funding structures.",Interviewed program representatives identified multilevel barriers and partnership-based facilitators for advanced drug-checking implementation.,"The study does not show that drug checking reduces overdose, quantify adoption nationally or establish partnership effectiveness.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0091,42196761,Building a Resilience Ecosystem to Improve Employee Mental Health and Wellbeing in Canadian High-Stress Low-Control Occupations,RETAIN_FOR_HUMAN_CONFIRMATION,uncontrolled longitudinal multiple-cohort implementation case series with repeated cross-sectional pre-post surveys and exploratory organizational correlations,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Aggregate scores improved for anxiety, alcohol use and team psychological safety, while individual resilience deteriorated; small-N correlations with benefit costs were exploratory and sometimes unexpected.","No control group, different repeated samples, attrition, COVID timing, organization-level N of four or five and Canadian context.","In these five organizations, selected survey measures changed over time and exploratory organization-level associations with benefit costs were observed.","The study does not establish that the Standard or training caused the changes, reduced costs, prevented illness or will reproduce in other organizations.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-1328,19947877,Trauma Care Training for National Police Nurses in Colombia,RETAIN_FOR_HUMAN_CONFIRMATION,single-group pre-post quasi-experimental course evaluation,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,Mean written scores rose from 59.8% to 98.9% (p<0.01); all 374 participants were rated as demonstrating complete knowledge after practical training.,"Colombian police combat-nurse setting, non-standardized instruments, instructor assessment and no control or long-term follow-up.","Among these 374 trainees, written scores and instructor-rated simulation skills were higher after the MEDTAC course.","The uncontrolled evaluation does not establish clinical performance, casualty outcomes, long-term retention or superiority to another course.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison,,,,,,NO
PILOT_02,EV-0896,32191195,How to Stop the Bleed: First Care Provider Model for Developing Public Trauma Response Beyond Basic Hemorrhage Control,RETAIN_FOR_HUMAN_CONFIRMATION,nonrandomized comparative simulation study of trained versus untrained volunteers,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Time to solution was shorter for trained groups for bleeding (3:33 versus the 8-minute cutoff, p=0.0014) and airway obstruction (32.6 seconds versus 7:03, p=0.0087); time-to-first-action differences were not significant.","Small volunteer sample, nonrandom group assignment, simulated setting, potential group differences and donated equipment.","In this simulation, trained volunteer groups completed the two specified interventions faster than untrained groups.","The study does not prove real-event mortality benefit, durable skill retention, population effectiveness or equivalence to professional EMS.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
PILOT_02,EV-0791,33909512,Assessment of Fall-Related Emergency Medical Service Calls and Transports After a Community-Level Fall-Prevention Initiative,RETAIN_FOR_HUMAN_CONFIRMATION,quality-improvement initiative with uncontrolled retrospective interrupted time-series/pre-post comparison,QUANTITATIVE_EVIDENCE,JBI Quasi-Experimental Studies,"Fall-related calls decreased from 135 to 46 (reported relative risk reduction 0.66, 95% CI 0.53-0.76); transports decreased from 96 to 36 (0.63, 95% CI 0.46-0.75).","Single supportive small city, established grant-funded program, changing documentation and no concurrent control for secular or seasonal trends.",Fall-related EMS calls and transports were lower in the sustainment period than in the baseline period in this community.,The uncontrolled comparison does not establish that Community-FIT caused the reductions or that the effect will generalize to other communities.,Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited; VOR comparison,,,,,,NO
PILOT_02,EV-0723,35120531,The Bronze Age of drug checking: barriers and facilitators to implementing advanced drug checking amidst police violence and COVID-19,RETAIN_FOR_HUMAN_CONFIRMATION,"longitudinal qualitative implementation case study with field observations, interviews and descriptive process measures",QUALITATIVE_EVIDENCE,JBI Qualitative Research,Requests fell from an average 42 per month before a police operation to 23 in August 2019 and later stopped during COVID restrictions; these descriptive changes do not isolate causal effects.,"One independently operated urban US program, 12 interviewees, distinct drug laws and law-enforcement environment.","This case documents how organizational, technical, legal, policing and pandemic conditions shaped implementation at one program.","It does not establish drug-checking effectiveness, overdose prevention, causal effects of policing or generalizability beyond the site.",Human confirmation; exact claim-level source audit; scientific synthesis remains prohibited,,,,,,NO
